Name; company; price; price_to_weight; product_type; image_link
Banane;;0.29;1,52 $ /kg0,69 $ /lb.;Fruits et légumes;https://product-images.metro.ca/images/he9/h98/11860664352798.jpg
Framboises;;2.99;1,76 $ /100g;Fruits et légumes;https://product-images.metro.ca/images/hdd/h09/10406084870174.jpg
Concombre anglais;;1.99;1,99 $ /un.;Fruits et légumes;https://product-images.metro.ca/images/hd5/h7e/10916746395678.jpg
Couronne de brocoli enveloppée;;2.49;2,49 $ /un.;Fruits et légumes;https://product-images.metro.ca/images/h05/hb1/8894070685726.jpg
Raisins verts sans pépins;;3.02;3,02 $ /kg1,37 $ /lb.;Fruits et légumes;https://product-images.metro.ca/images/h00/h92/8874219470878.jpg
Sac de clémentines;;2.99;0,33 $ /100g;Fruits et légumes;https://product-images.metro.ca/images/hac/hf9/9335898406942.jpg
Mûres;;2.99;1,99 $ /100g;Fruits et légumes;https://product-images.metro.ca/images/hf8/hb8/12477325836318.jpg
Patate douce;;0.99;3,28 $ /kg1,49 $ /lb.;Fruits et légumes;https://product-images.metro.ca/images/h42/hfd/8872801533982.jpg
Mini concombres;;1.99;0,50 $ /100g;Fruits et légumes;https://product-images.metro.ca/images/h53/h29/14288843112478.jpg
Oignons verts;;1.49;1,49 $ /un.;Fruits et légumes;https://product-images.metro.ca/images/he5/hc1/8837270700062.jpg
Carottes miniatures coupées et pelées;BOLTHOUSE FARMS;2.49;0,73 $ /100g;Fruits et légumes;https://product-images.metro.ca/images/he4/h2b/14378069000222.jpg
Tomate italienne;;0.33;3,28 $ /kg1,49 $ /lb.;Fruits et légumes;https://product-images.metro.ca/images/h08/h24/9363114557470.jpg
Poire Bartlett;;1.05;6,59 $ /kg2,99 $ /lb.;Fruits et légumes;https://product-images.metro.ca/images/h5d/h63/8874216194078.jpg
Raisins rouges sans pépins;ROUGE;3.02;3,02 $ /kg1,37 $ /lb.;Fruits et légumes;https://product-images.metro.ca/images/h6a/h7f/8872792424478.jpg
Chou-fleur;;3.49;3,49 $ /un.;Fruits et légumes;https://product-images.metro.ca/images/h65/hfb/15139390881822.jpg
Champignons blancs;;1.99;0,88 $ /100g;Fruits et légumes;https://product-images.metro.ca/images/he9/hdf/14645751349278.jpg
Cœurs de laitue romaine;;4.99;4,99 $ /un.;Fruits et légumes;https://product-images.metro.ca/images/hac/h37/12942053441566.jpg
Tomate rouge de serre;;1.32;6,59 $ /kg2,99 $ /lb.;Fruits et légumes;https://product-images.metro.ca/images/hd5/h19/9660684271646.jpg
Poivrons assortis;;4.99;1,25 $ /un.;Fruits et légumes;https://product-images.metro.ca/images/h35/h14/12931665690654.jpg
Courgette;;1.61;6,59 $ /kg2,99 $ /lb.;Fruits et légumes;https://product-images.metro.ca/images/h17/h8d/8832900530206.jpg
Maïs deux couleurs;;5.0;0,59 $ /un.;Fruits et légumes;https://product-images.metro.ca/images/h31/h94/8871994032158.jpg
Sac de carottes;;2.99;0,33 $ /100g;Fruits et légumes;https://product-images.metro.ca/images/h2c/h91/12934191906846.jpg
Poivron vert;;0.6;2,18 $ /kg0,99 $ /lb.;Fruits et légumes;https://product-images.metro.ca/images/hd5/h04/9246490263582.jpg
Citron;;0.99;0,99 $ /un.;Fruits et légumes;https://product-images.metro.ca/images/h78/hd1/11521106935838.jpg
Avocat;;1.99;1,99 $ /un.;Fruits et légumes;https://product-images.metro.ca/images/h18/h06/8881643847710.jpg
Céleri local;;2.99;2,99 $ /un.;Fruits et légumes;https://product-images.metro.ca/images/h9d/h71/8837345017886.jpg
Oignons jaunes;;2.99;2,99 $ /un.;Fruits et légumes;https://product-images.metro.ca/images/hd0/h89/10824585445406.jpg
Cantaloup jumbo;;3.99;3,99 $ /un.;Fruits et légumes;https://product-images.metro.ca/images/ha5/h83/10333749149726.jpg
Brocoli;;2.99;2,99 $ /un.;Fruits et légumes;https://product-images.metro.ca/images/h56/h9d/8837196120094.jpg
Bleuets;;3.99;2,35 $ /100g;Fruits et légumes;https://product-images.metro.ca/images/h48/h68/12934179848222.jpg
Poivron rouge de champs;;0.65;2,18 $ /kg0,99 $ /lb.;Fruits et légumes;https://product-images.metro.ca/images/h32/hc9/8874267901982.jpg
Ananas, Tropical Gold;DOLE;2.99;2,99 $ /un.;Fruits et légumes;https://product-images.metro.ca/images/h66/h7f/8905403531294.jpg
Tomate;;1.1;5,49 $ /kg2,49 $ /lb.;Fruits et légumes;https://product-images.metro.ca/images/h3b/hc6/8836976967710.jpg
Banane biologique;;0.41;2,18 $ /kg0,99 $ /lb.;Fruits et légumes;https://product-images.metro.ca/images/hc8/he5/8872796160030.jpg
Fraises;;4.99;1,10 $ /100g;Fruits et légumes;https://product-images.metro.ca/images/h88/hac/10723487907870.jpg
Melon d'eau sans pépins;;6.99;6,99 $ /un.;Fruits et légumes;https://product-images.metro.ca/images/hc5/h08/11521109983262.jpg
Haricots verts;;0.66;6,59 $ /kg2,99 $ /lb.;Fruits et légumes;https://product-images.metro.ca/images/h3d/h88/8836970872862.jpg
